"term_id","name","count","description"
1142,"MELAMINE 16mm.",1,
1169,"MELAMINE 25mm &amp; 20mm",1,
1200,"MELAMINE 25mm &amp; 20mm - GLASS - METAL",0,
1147,"MELAMINE 32mm - MELAMINE 18mm",0,
1185,"METAL",0,
1218,"METAL - FABRIC",0,
1180,"METAL .ROPE",0,
1181,"METAL-GLASS",0,
1134,"METAL. PU",2,
1191,"METAL.VELVET",0,
1205,"PP 2800g/m³ - PU - BEECH WOOD",0,
1103,"PU - PLYWOOD - HARDWOOD - EUCALYPTUS POM FRAME",1,
1140,"PVC",3,
1207,"RUBBERWOOD VENNER - FABRIC",0,
1222,"STEEL - LPL",0,
1211,"TOP &amp; APRON: 18MM MDF WITH RW VENEER",0,
1215,"VELVET - METAL",0,
1145,"WOOD.FABRIC",2,
