term_id,name,slug,count,description
1294,"ΜΠΕΖ - ΕΚΑΙ",%ce%bc%cf%80%ce%b5%ce%b6-%ce%b5%ce%ba%ce%b1%ce%b9,0,
1443,"ΜΠΕΖ - ΜΠΕΖ",%ce%bc%cf%80%ce%b5%ce%b6-%ce%bc%cf%80%ce%b5%ce%b6,0,
1451,"ΜΠΕΖ - ΠΡΑΣΙΝΟ",%ce%bc%cf%80%ce%b5%ce%b6-%cf%80%cf%81%ce%b1%cf%83%ce%b9%ce%bd%ce%bf,0,
1442,"ΜΠΕΖ - ΣΑΜΠΑΝΙ",%ce%bc%cf%80%ce%b5%ce%b6-%cf%83%ce%b1%ce%bc%cf%80%ce%b1%ce%bd%ce%b9,0,
1463,"ΜΠΕΖ - ΧΑΚΙ - ΠΡΑΣΙΝΟ",%ce%bc%cf%80%ce%b5%ce%b6-%cf%87%ce%b1%ce%ba%ce%b9-%cf%80%cf%81%ce%b1%cf%83%ce%b9%ce%bd%ce%bf,0,
1452,"ΜΠΕΖ ΚΙΤΡΙΝΟ",%ce%bc%cf%80%ce%b5%ce%b6-%ce%ba%ce%b9%cf%84%cf%81%ce%b9%ce%bd%ce%bf,0,
1289,"ΜΠΛΕ - ΜΠΕΖ",%ce%bc%cf%80%ce%bb%ce%b5-%ce%bc%cf%80%ce%b5%ce%b6,0,
1399,"ΜΠΛΕ - ΜΩΒ",%ce%bc%cf%80%ce%bb%ce%b5-%ce%bc%cf%89%ce%b2,0,
1267,"ΜΠΛΕ OCEAN",%ce%bc%cf%80%ce%bb%ce%b5-ocean,0,
1241,"ΜΠΛΕ TWIST 13",%ce%bc%cf%80%ce%bb%ce%b5-twist-13,0,
1335,"ΜΠΛΕ ΠΡΑΣΙΝΟ",%ce%bc%cf%80%ce%bb%ce%b5-%cf%80%cf%81%ce%b1%cf%83%ce%b9%ce%bd%ce%bf,0,
1362,"ΜΠΛΕ ΡΟΖ",%ce%bc%cf%80%ce%bb%ce%b5-%cf%81%ce%bf%ce%b6,0,
1403,"ΜΠΛΕ ΣΚΟΥΡΟ",%ce%bc%cf%80%ce%bb%ce%b5-%cf%83%ce%ba%ce%bf%cf%85%cf%81%ce%bf,0,
