term_id,name,slug,count,description
1349,"ΔΕΡΜΑ - ΒΑΜΒΑΚΙ",%ce%b4%ce%b5%cf%81%ce%bc%ce%b1-%ce%b2%ce%b1%ce%bc%ce%b2%ce%b1%ce%ba%ce%b9,2,
1382,"ΔΕΡΜΑ - ΓΙΟΥΤΑ",%ce%b4%ce%b5%cf%81%ce%bc%ce%b1-%ce%b3%ce%b9%ce%bf%cf%85%cf%84%ce%b1,0,
1503,"ΔΕΡΜΑ - ΜΑΛΛΙΝΟ",%ce%b4%ce%b5%cf%81%ce%bc%ce%b1-%ce%bc%ce%b1%ce%bb%ce%bb%ce%b9%ce%bd%ce%bf,7,
935,Δερματίνη,%ce%b4%ce%b5%cf%81%ce%bc%ce%b1%cf%84%ce%af%ce%bd%ce%b7,18,
1531,"Ίνες μπανανιάς",%ce%af%ce%bd%ce%b5%cf%82-%ce%bc%cf%80%ce%b1%ce%bd%ce%b1%ce%bd%ce%b9%ce%ac%cf%82,4,
2309,"Ίνες φοίνικα",%ce%af%ce%bd%ce%b5%cf%82-%cf%86%ce%bf%ce%af%ce%bd%ce%b9%ce%ba%ce%b1,1,
1252,"ΚΑΘΡΕΠΤΗΣ - ΣΧΟΙΝΙ",%ce%ba%ce%b1%ce%b8%cf%81%ce%b5%cf%80%cf%84%ce%b7%cf%82-%cf%83%cf%87%ce%bf%ce%b9%ce%bd%ce%b9,3,
1532,Καλαμιά,%ce%ba%ce%b1%ce%bb%ce%b1%ce%bc%ce%b9%ce%ac,1,
1364,ΚΑΜΒΑΣ,%ce%ba%ce%b1%ce%bc%ce%b2%ce%b1%cf%82,35,
1482,"ΚΑΜΒΑΣ - ΣΧΟΙΝΙ",%ce%ba%ce%b1%ce%bc%ce%b2%ce%b1%cf%82-%cf%83%cf%87%ce%bf%ce%b9%ce%bd%ce%b9,6,
1524,Καραβόπανο,%ce%ba%ce%b1%cf%81%ce%b1%ce%b2%cf%8c%cf%80%ce%b1%ce%bd%ce%bf,0,
1160,Κεραμικό,%ce%ba%ce%b5%cf%81%ce%b1%ce%bc%ce%b9%ce%ba%cf%8c,408,
1490,"ΚΕΡΑΜΙΚΟ - VENEER",%ce%ba%ce%b5%cf%81%ce%b1%ce%bc%ce%b9%ce%ba%ce%bf-veneer,1,
1489,"ΚΕΡΑΜΙΚΟ - VENEER OAK",%ce%ba%ce%b5%cf%81%ce%b1%ce%bc%ce%b9%ce%ba%ce%bf-veneer-oak,3,
1505,"ΚΕΡΑΜΙΚΟ - ΒΕΛΟΥΔΟ",%ce%ba%ce%b5%cf%81%ce%b1%ce%bc%ce%b9%ce%ba%ce%bf-%ce%b2%ce%b5%ce%bb%ce%bf%cf%85%ce%b4%ce%bf,1,
1468,"ΚΕΡΑΜΙΚΟ - ΛΙΝΟ",%ce%ba%ce%b5%cf%81%ce%b1%ce%bc%ce%b9%ce%ba%ce%bf-%ce%bb%ce%b9%ce%bd%ce%bf,37,
1506,"ΚΕΡΑΜΙΚΟ - ΣΧΟΙΝΙ",%ce%ba%ce%b5%cf%81%ce%b1%ce%bc%ce%b9%ce%ba%ce%bf-%cf%83%cf%87%ce%bf%ce%b9%ce%bd%ce%b9,1,
1487,"ΚΕΡΑΜΙΚΟ - ΧΑΡΤΙ",%ce%ba%ce%b5%cf%81%ce%b1%ce%bc%ce%b9%ce%ba%ce%bf-%cf%87%ce%b1%cf%81%cf%84%ce%b9,1,
1304,ΚΕΡΙ,%ce%ba%ce%b5%cf%81%ce%b9,20,
1530,Κοκοφοίνικας,%ce%ba%ce%bf%ce%ba%ce%bf%cf%86%ce%bf%ce%af%ce%bd%ce%b9%ce%ba%ce%b1%cf%82,2,
